Processes: 324 total, 4 running, 320 sleeping, 1215 threads 
2016/10/29 21:09:03
Load Avg: 2.73, 2.53, 2.37 
CPU usage: 28.98% user, 23.18% sys, 47.82% idle 
SharedLibs: 93M resident, 23M data, 6520K linkedit.
MemRegions: 68085 total, 504M resident, 38M private, 688M shared.
PhysMem: 3950M used (1190M wired), 145M unused.
VM: 5078G vsize, 618M framework vsize, 593712(0) swapins, 671578(0) swapouts.
Networks: packets: 1512128/1915M in, 651230/60M out.
Disks: 847076/18G read, 309812/18G written.

PID    COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM    PURG  CMPRS  PGRP  PPID  STATE    BOOSTS      %CPU_ME %CPU_OTHRS UID FAULTS   COW    MSGSENT   MSGRECV   SYSBSD    SYSMACH   CSW       PAGEINS IDLEW   POWER USER            #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
11056  com.docker.vmnet 0.0  00:00.01 1     0   17+    8192B+ 0B    644K+  11056 1     sleeping *0[1+]      0.00000 0.00000    0   2137+    176+   76+       29+       303+      143+      55+       6+      0       0.0   root            N/A    N/A   N/A   N/A   N/A   N/A  
11037  MTLCompilerServi 0.0  00:00.47 2     2   31+    160K+  0B    8012K+ 11037 1     sleeping *0[4+]      0.00000 0.00000    501 10668+   450+   169+      53+       824+      350+      1147+     4150+   8       0.0   archopposition  N/A    N/A   N/A   N/A   N/A   N/A  
11027  Docker           0.0  00:12.53 9     5   279+   5756K+ 0B    15M+   11027 1     sleeping *0[35+]     0.00000 0.00000    501 48467+   782+   63805+    11674+    279763+   120986+   230847+   6036+   11221   0.0   archopposition  N/A    N/A   N/A   N/A   N/A   N/A  
9499   bash             0.0  00:00.11 1     0   16+    8192B+ 0B    796K+  9499  9498  sleeping *0[1+]      0.00000 0.00000    501 2805+    1030+  110+      49+       7874+     142+      560+      1+      0       0.0   archopposition  N/A    N/A   N/A   N/A   N/A   N/A  
9498   login            0.0  00:00.03 2     1   28+    140K+  0B    888K+  9498  850   sleeping *0[9+]      0.00000 0.00000    0   3150+    193+   162+      51+       1375+     258+      231+      34+     2       0.0   root            N/A    N/A   N/A   N/A   N/A   N/A  
7065   secinitd         0.0  00:00.44 2     2   57+    156K+  0B    5708K+ 7065  1     sleeping *0[16+]     0.00000 0.00000    501 12699+   259+   438+      157+      6825+     833+      2228+     112+    13      0.0   archopposition  N/A    N/A   N/A   N/A   N/A   N/A  
6345   com.apple.WebKit 0.0  00:01.32 10    1   185+   928K+  512K+ 11M+   6345  1     sleeping *0[2156+]   0.00000 0.00000    501 28921+   634+   7305+     3123+     20943+    38177+    13200+    3426+   181     0.0   archopposition  N/A    N/A   N/A   N/A   N/A   N/A  
4434-  TextWrangler     0.0  00:11.72 2     1   215+   1140K+ 0B    44M+   4434  1     sleeping *0[52+]     0.00000 0.00000    501 57149+   1851+  53838+    7381+     63806+    102002+   66505+    11915+  1329    0.0   archopposition  N/A    N/A   N/A   N/A   N/A   N/A  
4371   syspolicyd       0.0  00:08.07 2     2   48+    164K+  0B    7640K+ 4371  1     sleeping *0[8+]      0.00000 0.00000    0   13817+   206+   929+      245+      129955+   2515+     90885+    88+     14      0.0   root            N/A    N/A   N/A   N/A   N/A   N/A  
4370   XprotectService  0.0  00:00.40 3     2   78+    180K+  0B    6216K+ 4370  1     sleeping *0[7+]      0.00000 0.00000    501 15280+   335+   709+      208+      19194+    1115+     1329+     301+    13      0.0   archopposition  N/A    N/A   N/A   N/A   N/A   N/A  
